ግዕዝ ,ትግርኛ 
ሰንደቅ,ሰንደቕ
ሰንዱን,በፍታ፡ ሓድስ ክዳን ዓለባ
ሰንጐጕ,መንጠልጠሊ መጋረጃ ሓጺን
ሰኖባር,ጽሕዲ
ሰኪኖን,ሽብጢ፡ ኩኽ
ሰካህካህ,ሽንጦ፡ ኣሰር ማይ ስዋ
ሰኮት,ዕዳጋ፡ ሹቕ፡ መገዲ፡ ሜዳ
ሰኮና,ሸኾና
ሰኳዕት,ሽሾ፡ጐመዳን፡ ጻጸ፡ ንህቢ ከልቢ
ሰዋስው,መደያይቦ (መሣልል)
ሰዋቅ,ዳጌፋ፡ ድጋፍ፡ መደገፊ
ሠውጥ,ሐለንጊ
ሰይ,ዋይ
ሰይል,ዋይታ፡ ቍላዕ
ሰይራ,ከርፈስ
ሰይፍ,ሴፍ
ሰደይ,ጥዑም ዘረባ
ሰድሉ,ማሕፀን፡ ሚዛን
ሰገም,ስገም (እኽሊ)
ሰጊህ,ሕማቕ፡ ሰነፍ
ሰግላ,ሳግላ
ሰግላግ,ኣብ ቀላይ ዝበቁል ጋሳ
ሰጉረድ/ ሰጉርንድ,ቀይሕ ሽጉርቲ
ሰጥረጲሎን,ኣውሒ
ሰኖባር,ጽሕዲ
ሰጵለክስስ,ነፋሒቶ፡ ዓንጎግ
ሰጵራክን,ምንጭልቚት
ሰፈርኮል,ጕርጉሪት
ሰፈርጎል,ጉርጉሪት
ሰፋራ,ሓሞት
ሰፋድል,መዳሕንቲ
ሰፌልያ,መስበሪ እምኒ (መደሻ)
ሰፌልያ,መፈንቀሊ እምኒ (መለኪኖ)
ሰፍነግ,ሰፍነግ (ስፖንጅ)
ሰፍኖጌ,ሰፍነግ፡ ሓሞት
ሱላሜ,ሰላም፡ ፍቕሪ፡ ኅብረት
ሱትላፊ/ ስትላፊ/ሶትላፊ/ ሶቶፍሊ,ቊራዕ
ሱም,ፃዕዳ ሽጉርቲ
ሱራጌ,መረቕ
ሴሩብ/ ሲሮብ,ሒሖት
ሲኖዲቆን,ቃለ ጉባኤ
ሳምር,ወቕቲ፡ ጊዜ፡ እዋን
ሳኒታ,ንጽባሒታ
ሳንጥ,ዓተር
ሳውዳ,እሳታዊ ጠባይ
ሳዶር,ቀዳማይ ሽንካር
ሳፍሕ,ቅጥኒ
ሳፍራ,ነፉሳዊ ጠባይ
ሳፕ,ጅግና፡ ንፉዕ
ሴሮሕ,ቀሺ ገበዝ
ሴኬቤቴናሆም,ሓቛፊት ደርሆ
ስሂጥ,ሃመማ፡ ጽንጽያ፡ ሕጻውጽ
ስህቦ,ሓሰኻ ዒባ
ስላቅ ስላት,ላግጺ
ስማሕ,ላልሽ (ሥጋ)
ስማዝ,ሰቲ
ስማዝያሁ,ስምዕዛ
ስባጥ,ኵላሶ፡ ሕርጓቶ
ስብሐት,ምስጋና
ስብኮ,ጣዖት፡ ምስሊ፡ ቅርጺ
ስቴ,መስተ
ስኂን,ዕጣን
ስን,ስኒ
ስንቅ,ስንቂ
ስንት,ሽንቲ
ስንዕ,ስምምዕ
ስንክሳር,እኩብ
ስንዳሌ,ሥርናይ
ስዝር,ስድር
ስጉርንድ,ሽጉርቲ
ሶልላ,ኮረት፡ ሑጻ፡ ሐመድ
ሶመት,ፃዕዳ ሽጉርቲ፡ ገዘሞ
ሶሬድ,ስንክያ፡ ጐንደራን
ሶርቃ,ተዝካር
ሶርቃቡ,ብሑቝ
ሶቤቃካ,ምልዖ
ሶክ,እሾኽ
ሶድ,መጽሓሪ ሓዊ
ሶጣስስ,ቅንጭብ
ሶፍር,ቅርጸት ከብዲ
ሶፍያ,ጥበብ፡ ፍልጠት
ቀለም,ቀለም
ቀለምሲስ,ራእይ
ቀለምጤዳ,ጸባ ቈልቷል
ቀለምጺዳ,ቅንጭብ
ቀለምጺጽ,ብልጭታ፡ ሞቝሎ
ቀለንቶስ/ ቀለንቶን,ባሕቲ
ቀለምፔ,ቀይሕ ቐለም
ቀላይ,ቀላይ
ቀላውጻ,ኣደ ህበይ
ቀልዙ,ሓሰኻ ዒባ
ቀልደድ,ቅርኒብ ዓይኒ
ቀልጹ,ተባዕታይ ህበይ
ቀሐር,ቀሐር
ቀማጥር,መንፊት
ቀምሕ,ፍረ፡ ዘርኢ፡ ኣዝመራ
ቀምጠራ,ሙዳየ ምጽዋት
ቀስታም,ዱላ፡ በትረ መንግሥት
ቀረጽ,ቀረጽ
ቀሪም,ቀሪም
ቀራንዮ,ዝተማሳቐለ፡ መካነ ዐፅመ ርእስ
ቀርቂስ,መዛናግዒ (ጆቶኒ፡ ገበጣ)
ቀርነብ,ማንቲለ፡ ቅርኒብ ዓይኒ
ቀርነብ,ቅርኒብ እኽሊ
ቀርነ ነጌ,ስኒ ሓርማዝ
ቀርነናዕ,ኣረነ፡ ሓሸካ
ቀርዱ,ህበይ
ቀርዱናት/ ቀርዲናት,ኣህባይ
ቀርጠሉት,ስጉርፍኦ
ቀርጠሉ,ጥፍሒ (እንዳ ኵሕሊ)
ቀርጠሎን,ቅርጫት
ቀርጠሎን,ስጉርፍኦ፡ ዘምቢል
ቀርጤል,ጥፍሒ (ሙዳይ)
ቀሱት,ዕትሮ
ቀቀብ,ሰገባ
ቀቀኖ,መፍለስ፡ ኣባ ጕምባሕ
ቀቢላ,ማሸላ
ቀትረርያ,ሰንደቕ ዕላማ
ቀንዲል,ቀንዴል
ቀውዕ,ቀውዒ
ቀይሕ,ቀይሕ
ቀስ/ ቀሲስ,ቀሺ
ቀዲሙ,ቅድም
ቀዳሚ/ ቀዳማዊ,ቀዳማይ፡ መጀመርታ
ቀጣ,ሚዛን ወርቂ
ቀጸላ,ኣኽሊል
ቀጻ,ሓዊ ለይቶ፡ ጽምብላሊዕ
ቁመት,ቁመት
ቁናማት,ከረጺት፡ ሳንጣ፡ ቁርባብሻ
ቁፋሂ,ቅኔ ማኅሌት (ማኅሌተ ቅኔ)
ቂም,ቂም
ቂሪን,ሓጽቢ ዒላ
ቃህም,ጸጸ
ቃህዋ,ፍረ ቡን
ቃማ,ስልማት
ቃስ,እደ ጠባብ (ቀሚስ)
ቃርሕ,ቀሓር
ቃቂር,ኳዂ
ቃቤላ,ማሸላ
ቃቴል,ቃጭል
ቃውላ,ድውል
ቃውም,ጠበቓ፡ ሓለቓ
ቃውጻ,ዋጭል ህበይ
ቃግስት,መርዛም ኣፍዐት፡ ተመን
ቃፍ,ዕላማ (ጨመተ)
ቄር,ኃያል
ቄርኔን,ዕቑር ማይ
ቄኔ,ኣውሊዕ
ቄደር,መጽሕፈ ንስሓ
ቄድሮስ/ ቄድሪኖን,ኣውሒ
ቄጵርስስ,ጽሕዲ
ቄፋዝ,ወርቂ
ቅስፈት,ግርፋት
ቅስት,ባእሲ፡ ክርክር
ቅስና,ክህነት
ቅርዳን,ንእሽቶ ኣንጭዋ
ቅርድ,ህበይ
ቅርፍት,ቅራፍ
ቅስፍ,ዓይኒ ምድሪ (ሽቓቕ)
ቅብኣት,ቅብኣት
ቅብእ,ቅብኢ (ልኻይ)
ቅብው,ዝተነፍሐ፡ ቃባ
ቅብጢ,ቋንቋ ግብጺ(ጥንታዊ)
ቅናት,ቅናት፡ መዕጠቒ
ቅኔ,ቅኔ፡ መግዛእቲ
ቅንጽራሆ,ዲያቆን
ቅንአት,ቅንኣት
ቅንፍዝ,ቅንፍዝ
ቅያዕ,ትፉእ፡ተምላስ
ቅዱስ,ቅዱስ፡ ፍሉይ
