ግዕዝ ,ትግርኛ 
ወልወለ,ተጠራጠረ：ተወላወለ
ወዐለ,ወዓለ：ሸቀለ
ዐለለ,ኣብ ሕብሪ ኣእተወ：ሰበነ
ዐቀለ,ደንገገ
ዔለ,ዘወረ
ዘለለ,ዘለለ：ፀሞቐ
ዘበለ,ኣብዚሑ ሓርአ
ዝሕለ,ቈረረ：ዘሓለ
ደለለ,መሸጠ：ዘርገፈ:ጠቕለለ
ገልገለ,ኣውፅአ：በርበረ：ዘረፈ：ባዶ ገበረ
ገንፀለ,ገምጠለ
ገንፈለ,ግምቢ ሰርሐ：ጡብ ሰርሐ
ገየለ,ቆረፀ：ፈለየ
ገደለ,ገደለ：ናብ ገደል ደርበየ：ጠምበወ
ጐደለ,ጐደለ
ጠሓለ,ኣከበ：ደርበየ
ጠለ,ጠለለ：ረሓሰ：ለምለመ
ጠቀለ,ሓበለ：ብነገር ተንከየ
ጠቅለለ/ጠብለለ,ጠቕለለ
ጠንቆለ,ጠንቆለ
ጠውለለ,ጋረደ
ጤቀለ,ፀሓፈ
ጥሕለ,ሓተለ
ፀሐለ,ኣብልሐ（ንሓፂን）
ፀለለ,ፀብለል በለ
ፀለለ,ሰፈፈ：ጋረደ
ፀንበለ,ቀደደ
ፀንጐለ,ገፍሐ：በዝሐ：ገደደ
ፀንፀለ,ፀናፅል ፀንፀለ：ወቕዐ
ፀደለ,በርሀ：ኣንፀባረቐ
ፀዐለ,ፀረፈ：ኣፀለመ
ፄተለ,ጒዑሽ ኮነ：ኰልዒ ኮነ
ፅዕለ,ፀመመ
ፈሓለ,ዘለለ：ዓንደረ：ዘመወ
ፈተለ,ፈተለ
ፈንቀለ,ፈንቀለ
ፈደለ,ፀሓፈ
ፍሕለ,ኣመንዝረ
ፍሕለ,ሰኸረ：ሓፍሓፍ በለ
ለ,ን
ለለ,እና
መንገለ,ናብ：ሸነኽ：ወገን
ምስለ,ምስ：ከም
በቀለ,ስለ：ከም
ተክለ,ክንዲ：ዚኣክል
እለ,ዝ：እኒ：ቅፅል：ክንዲ ስም
እንበለ,ብዘይ：ኣሉታ
ለምሐ,ለምዐ
ለስሐ,ጣዕሚ ኣልቦ ኾነ
ለቅሐ,ኣለቅሐ
ለብሐ,ሰርሐ：ዓየየ
ለትሐ,መዓጐ
ለጥሐ,ገበረ:ግብሪ ከፈለ
መልሐ,መቀረ
መስሕ,ምሳሕ ገበረ：ቀብአ
መርሐ,መርሐ
መትሐ,ሰስዐ
መድሐ,ጠሓነ
ሞርቀሐ,ለሓፀ
ሞቅሐ,ኣሰረ
ሞጥሐ,ለበሰ：ተኸድነ
ሞፅሐ,ፀሞቐ
ሠርሐ,ኣቃንዐ：ኣከናወነ
ሠርሐ,ደኸመ：ሰርሐ：ዓየየ
ሠብሐ,ሰብሐ（ንስጋ）
ሣርሐ,ኣብርሀ
ረምሐ,ወግአ
ረቅሐ,ሸኸተ：ወግአ
ረስሐ,ረስሐ
ረብሐ,ረብሐ：ከሰበ
ረውሐ,ቀደደ：ኣንኰለ
ሮሐ,ነሰነሰ：ወልወለ
ረግሐ,ረግሐ：ረገፀ：ነድሐ
ሰብሐ,ኣመስግነ
ሰይሐ,ደረቐ：ጠፍአ：ሓመመ
ሰጥሐ,ሰጥሐ
ሰፍሐ,ዘርገሐ：ሰፍሐ
ሳሕሰሐ,ኣድሓርሐረ
ሴሐ,ወቐጠ：ሰይሐ：ጐድአ
ቀምሐ,ኣፍረየ：ኣንገርገረ
ቀርሐ,ፀንቀቐ：ጨለጠ
ቃርሐ,ቀሓረ：ረሰነ（ንሕማም）
ቄሐ,ቀይሐ
ቄቅሐ,ፈተገ：ቀረፈ：ቀለጠ：ቃቕሐ
በልሐ,በልሐ：በልሕ ኮነ
በጥሐ,በጥሐ
በፅሐ,በፅሐ
በኵሐ,ነፍሐ：ኣንደደ：ፉፍ በለ
ባሕብሐ,ባሕብሐ：ጨነወ
ባልሐ,ኣድሓነ
ተማላትሐ,ብፅፍዕት ተዋቕዐ
ተመላትሐ,ኣጣቕዐ：ተፃፍዐ
ተመክሐ,ተመክሐ：ተጃሃረ
ተሞጥሐ,ተወንዘፈ：ለበሰ：ተኸድነ
ተሠርሐ,ተኸናወነ：ተሠርሐ
ተበውሐ,ሰልጠነ：ተፈቕደሉ
ተባፅሐ,ተሓባበረ：ተራኸበ
ተተዋስሐ,ተደበላለቐ
ተንሐ,ሓጐመ
ተወፅሐ,ተጨነቐ：ኣዕጠጠየ：ኣቕለለወ：ፈሰሰ：ተነፅገ
ተዋክሐ,ተኻትዐ：ተፈኻኸረ
ተዋፅሐ,ተታኅዘ（ብክፉእ ነገር）
ተይሐ,ፈርሐ
ተፃብሐ,ተሓታተተ
ተፃብሐ,ከመይ ሓድርካ ተበሃሃለ
ተፈሥሐ,ተሓጐሰ
ቴሐ,ቈላመፀ
ቶስሐ,ወሰኸ：ሓወሰ
ነስሐ,ተመልሰ:ተጣዕሰ
ነቅሐ,ነቕሐ：ድሓነ：ተንስአ：ተግሀ
ነብሐ,ነብሐ：ነቀወ（ንኸልቢ）
ነፅሐ,ነፅሐ：ደርበየ：ኣውደቐ
ነፍሐ,ነፍሐ
አልሕሐ,ኣተርከሰ：ኣብዝሐ
ኣመልትሐ,ኣመሳቐለ
ኣመርገሐ,ኣንኰርኰረ：መደረጋሕ ገበረ
ኣመዋርሐ,ኣንፈሰ：ንፋስ ሃበ（ብመሽረፈት）
አሜርግሐ/ኣራውሐ,ኣምበድበደ：ኣሽረፈ
ኣስተናፅሐ,ኣፅረየ
አርስሐ,ኣርስሐ
አርሰሐስሐ,ተጠራጠረ
አርሰሐስሐ,ዘረገ
አርሰሐስሐ,ተፋረደ፡ ተፈራረደ .
አርብሐ,ኣርብሐ፡ ኣብዝነ፡ ኣግዝአ፡ ወሰኸ
አቅየሐይሐ,ኣቀያይሐ
አብሐብሐ,ባህብሀ፡ ማይ ኣንጠብጠበ፡ ኣርሓሰ
አብኵሐ,መናፍሕ ነፍሐ
አንኀ,ንድኅሪት በለ፡ ኣንውሐ
አንሰሐስሐ,ኣንቀሳቐሰ፡ ተንቀሳቐሰ
ኣንሰሐስሐ,ኣሰጓጐመ፡ ሰጓጐመ
አንብሐብሐ,ጥብጥብ በለ
አንክሐክሐ,ፈትፈተ
ኣውጽሐ,ኣፍሰሰ፡ ኣለኸ
ኣጸንሕሐ,ኣሸተተ፡ ዕጣን ኣዕረገ
አጽናሐንሐ,ወዝወዘ
ኣጽንሐ,ኣጸበየ፡ ተኃብአ፡ ኣጽንሐ
ከልሐ,ኣእወየ፡ ጨደረ፡ ዓው በለ
ከልትሐ,ኣሠረ
ኰስሐ,ተናጽሐ፡ ሓርአ፡ ሸነ
ኰርሐ,ግድ በለ፡ ገደደ
ወክሐ,ፈከረ፡ ደንፍዐ፡ ኣውክዐ
ወጥሐ,ኰመረ፡ ደርደረ፡ ወጥሐ
ወጽሐ,ኣፍሰሰ፡ ተነፍሐ
ዘልሐ,ጸሞቐ፡ ጀልሐ
ዘርሐ,ነጸገ፡ ኣጠልቀየ
ዘርቅሐ,ነቘተ፡ ካራ ሸኸተ
ዘብሐ,ሓረደ：ሰውአ
ዘንገሐ,ዘንገዐ
ዘግሐ,ዓፀወ：ዘግሐ
ደምሐ,መለኸ፡ መርመረ፡ ገዝአ
ደርግሐ,ደርዐ፡ ወሰነ፡ ሰፈየ
ደቅሐ,ሃረመ፡ ነደለ፡ ጠወየ
ደቅሐ,ባረከ
ገህግሐ,ኣኅደገ፡ ጸጥ ኣበለ
ገርሐ,ገርሐ (ንፈረስን በቕልን)
ገንሐ,ተቘጥዐ፡ ገንሐ
ጠብሐ,ጠብሐ፡ ሓረደ፡ ገፈፈ
ጠንፈሐ,ሕውዝውዝ በለ
ጠፍሐ,ኣጣቕዐ
ጠፍልሐ,መዘነ
ጠፍንሐ,ጨፈነ፡ ዓመተ (ንዓይኒ)
ጸርሐ,ኣእወየ፡ ጨደረ፡ ዓው በለ፡ ጠርዐ
ጸብሐ,ጠለቐ፡ ጸብሐ
ጸብሐ,ገበረ፡ ቀረጸ
ጸንሐ,ጸንሐ፡ ኣድበየ፡ ተኃብአ
ጼሐ,ጸረገ
ፈልሐ,ፈልሐ
ፈርሀ,ፈርሀ
ፈሥሐ,ተሓጐሰ
ፈትሐ,ፈረደ፡ ፈትሐ
ፈጽሐ,ፈንቀለ፡ ፈንጭሐ፡ ሰበረ
ፎሐ,ቈረሰ፡ ገመሰ
በሐ,ከመይ ውዒልካ ኃዲርካ
አሐ,ብዕራይ፡ ላም፡ ዝራብዕ
ከሐ,ኣብቲ፡ ንንየው
ኵሐ,ኲሓ፡ ኦም
ለሐመ,ጸንዐ፡ ለሓመ፡ በርትዐ
ለምለመ,ለምዐ፡ ለስለሰ፡ ለምለመ
ለቀመ,ለቐመ፡ ቈርጠመ
ለተመ,ፈተገ (ንእኽሊ)
ለጐሙ,ለጐመ፡ ዓገተ፡ ከልከለ
ለጐመ,ዓፀወ፡ ለኰተ
ልሕመ,ለሓመ፡ በኣሰ፡ ገደደ
ሐለመ,ሓለመ
ሐመ,ሓመመ
ሐመመ,ተመቕነየ፡ ሓመመ
ሐሠመ,ከፍአ፡ ሓሰመ
ሐርተመ,ተጐሳቘለ፡ ዓበረ
ሐከመ,ወሓለ ኾነ
ሐከመ,ሓከመ፡ ፈዋሳይ ኮነ
ሐደመ,ትኽስ በለ
ሐደመ,መሰለ፡ ምስላ ኣቕረበ
ሐገመ,ሓጐመ
መዐመ,ፈርሀ፡ ተጣዕሰ
ሠረመ,ኣጥሓለ
ሠረመ,ዐዘቕቲ ኾነ
ሤመ,ሸመ፡ መገበ
ረመ,ፈግፈገ፡ ኣጽረየ፡ ዳህመጸ፡ ሓጸበ (ንብራና)
ረቀመ,ጸሓፈ
ረቀመ,ሠኣለ
ረአመ,ነጐደ፡ ዓቢይ ድምፂ ሃበ
ረየመ,ነውኀ
ረገመ,ረገመ
ሰለመ,ሰቐለ፡ ኣማዕተበ
ሰቀመ,ማረኸ
ሰተመ,በጽሐ፡ ኣርከበ
ሰዐመ,ሰዓመ
ሰከመ,ተሰከመ
ሶርኤመ,ለቖታ ኣውፅአ
ሶርየመ,ገፈፈ፡ ቆርበት ኣልፍዐ
ቀለመ,ጸሓፈ
ቀሰመ,ለቐመ፡ ኣረየ
ቀሠመ,ኣመቀረ፡ መቀረ
ቀረመ,ቀረመ
ቀደመ,ቀደመ፡ መርሐ
ቆመ,ቆመ፡ ደው በለ
ብህመ,ዓባስ ኮነ፡ በሃም ኮነ
ተኀረመ,ተሓረመ፡ ተኸልከለ፡ ሕርሚ በለ፡ ሓራም በለ
ተሐድመ,ተፈጥረ፡ ኮነ
ተለመ,ተለመ
ተሰረመ,ኣብ ረግረግ (ታኼላ) ኣተወ
ተሠይመ,ተሠየመ፡ ተሸመ
ተሠጥመ,ተሠጥመ፡ ጠሓለ፡ ሰጠመ
ተሳለመ,ተፋቐረ፡ ተሳለመ
ተርሕመ,መለቘ፡ ተሠርሐ
ተርጐመ,ተርጐመ
ተቀየመ,ተቐየመ
ተቃወመ,ተቓወመ፡ ተኸራኸረ
ተነወመ,ሓለመ
ተነወመ,ተኃብአ፡ ተሠወረ፡ ተቐመጠ
ተከትመ,ተኸትበ
ተደመ,ተደነቐ፡ ተገረመ
ተጸመመ,ተጸመመ፡ ዓቕሊ ገበረ
ተጸትመ,ተሰብረ
ተፈጸመ,ተፈጸመ፡ ተወድአ
ተፈፅመ,ጣዖት ኣምለኸ፡ ኣፉ ተሓትመ
ተፍዕመ,ኰለሰ (ጐረሰ)
ነወመ ኖመ,ደቀሰ
ኀረመ,ኀደገ፡ ኣገልገለ
ኀተመ,ኃተመ
አሕረመ,ሥራሕ ሕጊ ገበረ
ዐለመ,ጸሓፈ፡ መሃረ
አልኰመ,ጸሓፈ፡ ኣውደቐ፡ ተምተመ
አልኰመ,ሃረመ፡ ኣጋጨወ
አመግደመ,መለሰ፡ ኣሰይፉ ኣርኣየ
አስተሐመመ,ኣስናድአ፡ ተግሀ
አስተሐመመ,ሓሰበ፡ ፈተወ
አስተቃሰመ,ፋል ገበረ፡ ጠንቈለ
አረመ,ጻህየየ፡ ኣጽረየ
አርመመ,ስቕ በለ
አቀመ,ኣቖመ
አነመ,ሠርሐ፡ ኣለመ
አደመ,ጸበቐ፡ መልክዐ
አደምደመ,ኃቢሩ ኸደ
አግደመ,ኣጋደመ፡ ንጋድም ከደ
አግደምደመ,ሓለኸ (ንእግሪ)
ከመከመመ,ቈረጸ፡ ከምከመ
ከረመ,ከረመ
ከተመ,ሓተመ፡ ከተመ፡ ብኽታም ሓተመ
ወስከመ,ሓንገገ (ንምራኽ)
ዐቀመ,ፈጸመ፡ ወሰነ፡ ደንገገ
ዐተመ,ተቖጥዐ፡ ሓረቐ
ዐደመ,ኣቋጸረ፡ ዓደመ
ዔመ,ዔመ፡ ደጐለ
ዘንመ,ዘነመ
ዝህመ,ሞቐ፡ ለበጠ
ደልጐመ,ገዓተ
ደምደመ,ጐተነ፡ ዘገፈ
ደክመ,ደኸመ
ደክተመ,ደኸየ፡ ዘኽተመ
ጸገመ,ጸገመ
ዳህመሙ,ኣፍረሰ፡ ደህመመ
ገረመ,ተፈርሀ፡ ገረመ
ገዘመ,ቈረጸ
ገደመ,ቀነነ፡ ዘምበለ
ጐርየመ,ሓጐመ
ጠለመ,ጠለመ፡ ኸድዐ
ጠለመ,ኣብ ቀለም ኣእተወ
ጠጣ፤ በመ,ጠወየ፡ ጠመው
ጠምጠመ,ጠምጠመ፡ ዓመመ
ጠቀመ,ሰፈየ፡ ለገበ
ጠቀመ,ግምቢ ወይ ናሕሲ ሠ
ጠዐመ,ጠዓመ፡ ቀመሰ
ጠላት,ጠቕለለ
ጥዕመ,ጠዓመ፡ መቀረ
ጦጠ,ጠቕለለ፡ ጠምጠመ
ጰስጠመ,ቀደደ
ጰርቆመ,ጸሓፈ
ጸልመ,ጸለመ፡ ጸልመተ
ጸመ,ደረቐ፡ ነቐጸ
ጸመመ,ጸመመ (ንእዝኒ)
ጸተመ,ሰበረ
ጾመ,ጾመ
ፈጸመ,ፈጸመ፡ ጠረሰ፡ ወድአ
ፈፀመ,ዓፀወ፡ ለጐመ፡ ሸፈነ
ፍሕመ,ጐሃረ፡ ፈሓመ
ቅድመ,ቅድም፡ ቅድሚ
ኣመ,ጊዜ፡ በ
ዐቅመ,ክንድዚ፡ ስለ፡ ልክዕ
እመ,ብ፡ በ፡ ካ፡ ከ፡ ምናልባሽ፡ እንተኾነ፡ ሽሕ እኳ
እመ እመ,ቢ፡ እን፡ ብ
እስመ,እሞ፡ ስለ፡ እኳ፡ እዚ፡ ብ፡ ኮ
ከመ,ከም፡ ከምዚ
ከመ፡ ከመ,እና
ክመ,ከምኡ፡ ስቕ ኢሉ፡ ንዘለዓለም
ጽመ,ፈጺሙ፡ እኳ
ፍጽመ,ቅድሚኡ፡ ኣቐዲሙ
ተዐገሠ,ከኣለ፡ ተዓገሠ፡ ዓቅሊ ገበረ
ተግኀሠ,ኣግለሰ፡ ሃደመ፡ ግልል በለ
ነግሡ,ነገሠ
ኀሠ፡ ኀሠሠ,ደለየ፡ መርመረ
ኆሠ,ጸረገ፡ ኣጽረየ (ንርስሓት)
ኣንገስገሠ,ኣነቓቕሐ፡ ኣለዓዓለ
አግኈሡ,ኣልዓለ፡ ኣግለለ
ገኀሠ,ኣተወ
ገንሡ,ኃደረ
ገሠሠ,ዳህሰሰ፡ ተንከፈ፡ ረምሰሰ
ጌረሠ,ሠርሐ፡ ጸመደ
ጌሠ,ገሰገሰ：ኸደ：ገሸ
ለወረ,በስዐ
ለጠረ,መዘነ
ሐሥረ,ሓሠረ፡ ተዋረደ
ሐረረ,ደረቐ፡ ሓረረ
ሖረ,ኸደ፡ ዘመወ
መሀረ,መሃረ
መሐረ,ይቕረ በለ፡ ኃደገ፡ መሓረ
መረ,መረረ
መቆረ,ጠዓመ፡ መቀረ
መበረ,ኰዓተ፡ ባረወ
መተረ,ቈረጸ፡ መተረ
መንገረ,ከኣለ
መከረ,ፈተነ፡ መከራ ኣጽገበ
መከረ,መኸረ፡ መዓደ
መዝበረ,ዓነወ፡ ፈረሰ
መጸረ,ኣዀምስዐ፡ ቆርጠመ
ምህረ,መሃረ
ምሕረ,ኰረየ
ሠምረ,ፈተወ፡ ደለየ
ሠረ፡ ሠረረ,ዘለለ፡ ነፈረ፡ ደየበ
ሠረረ,ተወርወረ፡ ሠረረ
ሠወረ,ኃብአ፡ ሠወረ፡ ከወለ
ሠገረ,ኣሰጐመ፡ ተሳገረ፡ ወተሃደር ኮነ
ሣረረ,መሥረተ፡ ተኸለ፡ ሠርሐ፡ ነደፈ
ሥህረ,በሓተ
ሥዕረ,ለምለመ፡ ለምዐ፡ ሣዕረረ
ሰቆረ,በስዐ
ሰበረ,ሰበረ
ስተረ,ሰንጠቐ፡ ጨደደ፡ ቀረፈ
ሰተረ,ዘርግሐ
ሰዐረ,ሰዓረ
ሰዐረ,ኣፋነወ
ሰክረ,ሰኸረ
ሰዘረ,ሰደረ፡ ሰንዘረ
ሰፀረ,ሰንጠቐ፡ ጨደደ፡ ፈለጸ
ሰፈረ,ሰፈረ፡ ዓቀነ
ስዕረ,ፈወሰ
ቀሐረ,ቀሓረ
ቀመረ,ቈጸረ፡ ቈረጸ
ቀመረ,ኣሰናድኣ፡ ኣዳለወ
ቀመረ,ከፈለ፡ ጋረደ
ቀሠረ,ቀረፈ፡ ቀለጠ
ቀሰረ,ቈጸረ
ቀበረ,ቀበረ
ቀተረ,ዓፀወ፡ ሸጐረ፡ ቐተረ
ቀተረ,ሰሓበ፡ ሸንከረ፡ መዓዘ
ቆጸረ,ቈርጠመ
ቀጸረ,ሓጸረ፡ ቀጸረ
ቀጸረ,ሠርሐ
ቀፈረ,ተጸግዐ
ቆርቆረ,በዝበዘ
ቆርቆረ,ዕግርግር በለ
ቆፀረ,ቈጸረ
ቆረ,ቈረረ፡ ዘሓለ
ቆበረ,ጣቓ ኾነ
በረ፡ በረረ,በረረ፡ ነፈረ
በረረ,ነደለ፡ በረረ
በርበረ,ዘረፈ፡ በርበረ
በኮረ,በኮረ
በደረ,ፈለየ፡ ቐደመ፡ መረጸ
ባህረረ,ባህረረ፡ ብንን በለ
ተሐወረ,ተኃላለፈ
ተኀደረ,ቃል ኪዳን ተኣታተወ
ተመዝበረ,ተበዝበዘ፡ ፈረሰ፡ ዓነወ
ተማዕዘረ,በርሀ፡ ኣሕወዝወዘ
ተሰብረ,ተሰብረ፡ ተሳዕረ
ተሠወረ,ተሠወረ፡ ተኃብአ
ተሥዕረ,ተሳዕረ
ተበኵረ,በዅሪ ኾነ፡ ሓለቓ ኾነ
ተነወረ,ነውራም ኮነ
ተናከረ,ተጻልአ፡ ተፈላለየ
ተናጸረ,ተረኣኣየ፡ ተነጻጸረ
ተዐወረ,ሸለል በለ፡ ኣላገጸ
ተዐወረ,ኣቚሰለ
ተዐዝረ,ስትዅ፡ ዕዝር ኢሉ ኸደ
ተዐዝረ,ሰፈረ፡ ዘለቐ፡ በጽሐ
ተዐዝረ,ተዓዝረ፡ ተዓዘረ፡ ዕዝር በለ
ተዐየረ,ተገበዘ፡ ተዓበየ፡ ተዘወረ፡ተመልሰ
ተከወረ,ዘወረ፡ ተመላለሰ
ተወዐረ,ዕፁብ ዕፁብ በለ፡ ኣድነቐ
ተወዐረ,ተደመመ፡ ተገረመ
ተወከረ,ተቐበለ
ተዘመረ,ተማኅፀነ
ተዘመረ,መስከረ
ተዘከረ,ሓሰበ፡ ዘከረ
ተዘወረ,ተሓለወ
ተዛወረ,ተመላለሰ፡ ተዛወረ
ተዝኅረ,ተጃህረ፡ ተዓበየ፡ ተነይሐ
ተደረ,ተደረ፡ ድራር በልዐ
ተደብተረ,ተተኽለ፡ ተዘርግሐ
ተድኅረ,ንድኅሪት በለ
ተገበረ,ሓረሰ
ተገየረ,ጓና ኾነ
ተጋወረ,ጐረቤት ኮነ
ተጠረ,ተሰከመ
ተጠየረ,ኣማረተ፡ ጠንቈለ
ተጣሐረ,ተሓጻጸበ
ተፃመረ,ሓደ ኾነ
ተፃረረ,ተጻልአ፡ ተፃረረ
ተፅዕረ,ተጨነቐ፡ ተፃዕረ
ነቈረ,ነቘረ
ነበረ,ነበረ፡ ተቐመጠ
ነከረ,ፈለየ
ነዘረ,ወግኣ፡ ተበታተነ
ነዘረ,ኣለኸ፡ ቘርጠመ
ነገረ,ነገረ፡ ኣውረየ
ነጠረ,ነጠረ፡ ብልጭ በለ
ነጸረ,ረኣየ፡ ፈለየ
ነጽረረ,ኸበደ
ነፈረ,ጠጠቐ፡ በሰለ
ንሕረ,ኰረየ፡ ሓርነኸ
ኀሠርሠረ,ከርፋሕ ናብራ ነበረ
ኀበረ,ፋሕፍሐ
ኀብረ,ተኃባበረ፡ ማኅበር ኮነ
ኀንገረ,ሓንገረ
- ኀየረ,በለጸ፡ ሓሸ
ኀደረ,ኃደረ
ኀፀረ,ኃፀረ፡ ከበበ
ኀፅረ,ሓፂር ኮነ
ኀፈረ/ ኀፍረ,ኃፈረ፡ ሓኸ
ኆበረ,ሸለመ፡ ለበጠ፡ ጠለቐ
አኅረ,ኣስዓበ፡ ገበረ
አኅረ,ጸረገ
አኀሠርሠረ,ተወድአ፡ ተሓንኰኸ
ኣኅበረ,ሕብሪ ለኸየ፡ ቀብአ፡ ኣጽረየ
አመሥጠረ,ሠወረ፡ ኣመሥጠረ
አመረ,ኣመልከተ፡ ሓበረ
አመረ,ፈለጠ
አመርዐረ,ኣመቀረ፡ ኣጥዓመ
አመንዘረ,ዘመወ፡ ኣመንዘረ
አመከረ,ፈተነ
አመዝበረ,ዘረፈ፡ ኣፍረሰ
አማኅበረ,ማኅበር ገበረ
ኣማዕረረ,ማዕረረ
ኣማዕዘረ,ኣብርሀ
አምሐረ,ኣጕሃየ
ኣምረረ,ኣምረረ፡ ዓመጸ፡ ተኃላለፈ
ኣምረረ,ኣቃለለ
አሠረ,ኣሠረ
ዐሠረ,ኣቋጸረ፡ ቈጸረ፡ ዓደመ
ዐሠረ,ካብ ዓሠርተ ሓደ ሃበ
አሥመረ,ኣሥመረ፡ ኣገልገለ፡ ኣሕጐሰ
አሥረረ,ሃወኸ፡ ኣውፅኣ
አሥረረ,ኣብረረ
አስቈረረ,ተጸየፈ፡ ፈንፈነ፡ ጸየነ
አስተኀቀረ,ኣቃለለ፡ ኣላገጸ
አስተሐቀረ,ኣታለለ
አስተሐወረ,ተኃላለፈ፡ ኣተኃላለፈ
አስተኀደረ,ኣዳለወ፡ ኣሰናድአ
አስተናበረ,ኣስተናበረ፡ ኣመሓደረ
አስተደኀረ,ኣተኻኸለ
አስተደኀረ,ኣቖመ፡ ኣጽንሐ
አሥገረ,ኣጻወደ
አሥገረ,ኣሥገረ፡ ኣተላለፈ
ዐረረ,ለቐመ፡ ኣረየ
አቊረረ,ኣዝሓለ፡ ኣቝረረ
ዐቈረ,ደለበ፡ ኣከበ፡ ዓቘረ
ዐበረ,ደረቐ፡ ዓበረ
አብሠረ,ኣበሠረ፡ ንብሥራት በለ፡ ነገረ
ዐብረ,ዓበረ፡ ደረቐ፡ ጐደለ
አብደረ,ፈተወ፡ መረጸ
ዐተረ,ዓተረ፡ ጨበጠ
አንከረ,ኣድነቐ፡ ኣገረመ
አንኰርኰረ,ኣንኰርኰረ
አንኰርኰረ,ኣገለባበጠ፡ ወረደ፡ ኣንከራረወ
አንወረ,ኣነወረ
አንዘረ,በገና ሃረመ
አንዘረ,ዘመረ
አንገርገረ,ኣንገርገረ፡ ኣንከባለለ፡ ደርበየ፡ ተንከባለለ
አንጐርጐረ,ኣዕዘምዘመ፡ ኣጕረምረመ
አንጠረ,ኣንጠረ፡ ኰልዐ
ኣንጸረ,ኣቕንዐ፡ ገጹ መለሰ፡ ኣመልከተ፡ ኣውረረ
አንፆረ,ተጨነቐ፡ ተወዛወዘ
አንፆረረ,ኣእወየ፡ በከየ
አንፈረ,ኣንፈረ
አእመረ,ፈለጠ፡ ፈተወ፡ ኣፍለጠ
አውቀረ,ኣውቀረ፡ ሠርሐ
አውተረ,ተግሀ፡ ኣዘውተረ፡ ተኮረ፡ ዘርግሐ
ዐዘረ,ኣብርሀ፡ ዘርዘረ
አዝመረ,ኣመስገነ
አዝመረ,ኣመስከረ
ዐየረ,ነዓቐ፡ ኣላገጸ
ዐየረ,ተጠቓቐሰ
አድኀረ,ኣኸተለ፡ ኣድኃረ፡ ኣስዓበ
አገበረ,(ብግዲ) ኣገበረ፡ ኣገደደ
አግመረ,ከኣለ፡ ተሰከመ
አግረረ,ገዝአ፡ ጸጥ ኣበለ
አግረረ,መርሐ፡ ሰሓበ፡ ጸውዐ
አጥሐረ,ሓጸበ፡ኣንጽሐ
ኣጸረ,ጸሞቐ፡ ኣጽረየ
አጸረ,ሰርሰረ
አጽረረ,ኣሸፈተ፡ ኣኽድዐ
አጽረረ,ኣባኣሰ
አጽበረ,ጭቃ ገበረ
አፈረ,ጸበቐ፡ ሸተተ
አፍቀረ,ፈተወ፡ ኣፍቀረ
ፆረ,ፆረ፡ ዓወረ
ከመረ,ኰመረ፡ ኣከበ
ከረረ,ደረቐ፡ ጠበቐ
ከብረ,ከበረ
ከተረ,ኣቖመ፡ ከልከለ
ከተረ,ከተረ፡ ከለለ
ኰስተረ,ጸረገ፡ ኣጽረየ፡ ኾሳተረ፡ባዶ ገበረ፡ ወድአ
ኰንተረ,መደብ ገበረ
ወሠረ,ገዝገዘ፡ ሰንጠቐ
ወቀረ,ቐረጸ፡ ወቐረ
ወተረ,ገተረ፡ ወጠረ፡ ኣዋጠረ
ወዐረ,ኣድነቐ፡ ዕፁብ በለ
ወዘረ,ለሰነ፡ ለቕለቐ
ወገረ,ሃረመ፡ ወቕዐ
ወገረ,ደርበየ፡ ሰንደወ
ወገረ,ወርወረ
ወፈረ,ወፈረ
ወፈረ,ረጐደ፡ ሠብሐ፡ ገጀፈ
ዘመረ,ኣመስገነ፡ ዘመረ
ዘመረ,መስከረ
ዘርዘረ,በተነ፡ ዘርዘረ
ዘከረ,ዘከረ፡ ጸውዐ
ዘወረ,ዘወረ
ደኀረ,መረቐ
ደኀረ,ፈትሐ
ደመረ,ደመረ፡ ወሸከ፡ ሓወሰ
ደፈረ,ደፈረ
ዴንተረ,ሸምቀቐ
ገብረ,ገበረ፡ ሠርሐ፡ ዓየየ
ገፀረ,ገዓረ፡ ዓው በለ፡ ጨርሐ
ገዘረ,ገዘረ፡ ከንሸበ
ገረ,መረገ፡ ለሰነ
ጐጽፈረ,ሓኸኸ
ጠኀረ,ፃዕደወ፡ ነጽሐ፡ ጸረየ
ጠቀረ,ጠቀረ፡ ጠቐር መሰለ
ጠፈረ,ተትዐ
ጠፈረ,ኣዋቐረ (ንቤት)
ጥሕረ,ኣእወየ፡ ዓው በለ
ጦመረ,ጸሓፈ
ጸሐረ,ሰበረ፡ ቐጥቀጠ
ፀመረ,ንኽልቲኡ ደሪቡ ወግኣ፡ ጸምበረ
ፀበረ,ጭቃ ገበረ፡ ጸብሪ ኮነ
ጸፈረ,ተትዐ፡ ቈነነ
ፆረ,ተሰከመ፡ ፆረ
ፈኀረ,ሓፀየ
ፈርፈረ,ፈርፈረ፡ ፈትፈተ
ፈከረ,ተርጐመ፡ ፈከረ
ፈጠረ,ፈጠረ
ፐፐረ,ሰበነ፡ ኣለኸ፡ ኣብ ቀለም ኣእተወ፡ ኣቒሐ (ፃዕዳ ጭራን ክዳንን)
ምዕረ,ሓደ ጊዜ
አሚረ,ጊዜ
ውእተ አሚረ,በቲ ጊዜ እቲ
ድኅረ,ደኃር፡ንዳኅራይ
